# Segmented Transcription: best_part.mp3
# BPM: 67 | Time Signature: 4/4
# Total Bars: 76

Bar.Beat   Time     Chord      Bass     Melody Notes
--------------------------------------------------------------------------------
1.1        0.00     D          C2       -
1.1        0.43     D          D3       B4 F#4
1.2        1.66     Faug       F2       F#4
2.1        3.66     A          A2       F#4
2.1        4.09     Am         A2       D5 A4
2.2        5.25     F#dim      F#3      D5 A4
3.1        7.49     G5         G2       D5 G4
3.2        8.80     D          F#3      F#4 D5
3.4        10.10    D          F#3      D5 A4
4.1        10.94    Gm         F2       C5 A4
4.3        12.70    Dm         F2       D5 G4
4.4        13.54    A5         A2       A4
5.1        14.47    D          D2       G4 F#4
5.2        15.78    D5         D3       A4 F#4
5.4        17.10    Faug       F2       C#5
5.4        17.30    C#m        E2       G#5 C#5
5.4        17.52    Dmaj7      D3       D5 C#5
5.4        17.72    Dmaj7      D3       D5 C#5 A4 F#4
6.1        17.97    Am         A2       A4 F#4
6.2        19.44    G#         F#3      B4 G#4
6.4        20.72    Adim       A1       D5 G#4
7.1        21.49    D5         D3       D5 E4
7.2        22.58    D5         D3       E4 D5
7.2        22.81    D          D3       A4 D5
7.4        24.45    Dm         D3       D5 A4
7.4        24.92    Dm         D3       D5 A4
8.1        25.54    F          C3       F4 A4
8.2        26.19    C5         C3       A4 G4
8.3        27.48    D5         C3       F4 A4
8.4        27.92    Csus2      C3       A#4 A4
8.4        28.15    D5         A2       A#4 A4
8.4        28.53    D5         D2       B4 A4
9.2        29.70    Dsus2      D2       D5 A4
9.2        29.99    Emin7      E2       D5 E4
9.2        30.19    F#5        E3       D5 E4
9.3        30.59    F#5        E3       E4 A5
9.3        31.02    F#m        F#3      E4 D5
9.4        31.96    Am         A2       E4 C#5
10.2       33.30    D5         A2       D5 G4
10.2       33.85    F5         F2       E4 G4
10.3       34.16    C          F#3      E4 F#4
10.4       35.51    G          G2       D5 B4
11.2       36.85    G5         G2       A4 D5
11.2       37.42    Bm         F#3      F#4 E4
11.3       37.74    Bm         F#3      D5 A4
11.4       38.79    F#aug      F#3      A5 D5
11.4       39.09    A#5        F2       D4 F4
11.4       39.30    A#5        F3       F4 E4
12.1       39.60    A5         F#2      E4 F4
12.2       40.21    C          G3       A4 G4
12.2       40.75    Gm         F3       D5 G4
12.2       41.06    A#         E3       E5 D5
12.3       41.92    F          C3       A4 D5
12.4       42.24    D5         A2       E4
12.4       42.55    D          D2       E4
13.1       43.47    A5         A2       C#5 A4
13.2       43.86    D5         A2       D5 A4
13.2       44.08    D5         A2       D5 A4 E4
13.2       44.38    A          E3       E4 F#4
13.3       44.78    C#m        E3       A5 F#4
13.3       45.49    Bdim       B2       D5 F#4
13.4       45.80    A#7        A#2      F4 G#4
13.4       46.13    Am         A2       F4 G#4
14.1       47.06    N.C.       F#3      C5 F#4
14.1       47.28    F#m        F#3      C#5 C5 F#4
14.2       47.48    B5         F#3      C#5 A4 F#4
14.2       47.67    D          F#3      D5 B4
14.2       48.05    C          G3       D5 G4
14.3       48.84    Em         F#3      F#4 E4
14.4       49.28    G#         G#2      E4
14.4       49.75    G          G2       E4
15.1       50.91    D          F#3      -
15.2       51.06    G          G2       F#5 D5
15.2       51.68    G          G2       E4 F#4
15.4       53.24    G5         G2       E4 D5
15.4       53.52    A#         F3       D5 G4 A4
16.1       53.88    F5         F3       G4 A4
16.2       55.33    F5         F3       D5 G4 F4
16.3       55.65    A5         F2       G4 F4
16.3       56.32    C          G3       E4 G4
16.4       56.78    A5         A2       E4 G4
17.1       57.48    D5         D2       E4 F#4
17.1       57.71    D5         D2       A4
17.1       57.93    F#m        E3       A4 D5
17.1       58.15    D          E3       D5
17.2       58.60    E5         E3       D5 B4 E4
17.2       58.96    E5         F2       B4 E4 F#4
17.3       59.26    E5         E3       E4 F#4
17.3       59.48    Dm         F2       B4 F#4 E4
17.3       59.71    D          F2       E4 B4
17.4       60.15    N.C.       E3       E4 B4
17.4       60.40    Emin7      E2       B4 E4
17.4       60.67    Am         A2       B4 E4
18.1       61.41    Asus2      A2       A4
18.1       61.58    F5         F2       B5 D5
18.2       61.83    C          G3       D5 B5
18.2       62.24    E5         F2       D5 B4
18.2       62.57    F#min7b5   F#3      B5 B4
18.3       62.80    F#min7b5   F#3      B4 F#4
18.3       63.07    Dm         F2       E4 B4
18.3       63.36    Dm         F2       E4 B4
18.4       63.95    G#         G#2      C5
19.1       64.40    G          G2       F#5 B4
19.1       65.28    G          G2       D5 B4
19.2       65.86    G          G2       B5 D5
19.2       66.14    D          F#3      B4 A4
19.3       66.92    F#aug      F#3      B4 A4
19.4       67.36    F#aug      F#3      A5 D5
19.4       67.59    F#aug      F#3      D5 A5
20.1       68.02    Gm         F3       D5 A4
20.1       68.31    F5         F3       A4 G4
20.1       68.77    F5         F3       G4
20.2       69.51    A#5        F2       G4
20.2       69.78    G5         F3       D5 G4
20.3       69.98    Dm         F3       D5 G4
20.3       70.28    F5         F3       A5 D5
20.3       70.55    F5         F2       D5 C5
20.4       70.87    A#         F3       A5 D5
20.4       71.17    A#         F3       A#4 G4
20.4       71.48    Dm         D3       F4 A#4
21.1       72.41    Dm         F2       B5 D5
