# Transcription: best_part.mp3
# Duration: 271.44s
# BPM: 67
# Time Signature: 4/4
# Total Bars: 76
# First Downbeat: 0.000s
# BPM Confidence: 1.00

Bar.Beat   Time     Chord      Bass         Chords                   Melody
----------------------------------------------------------------------------------------------------
1.1        0.00     Caug       C2 E2        C#3 D3 E3 B3 A3 F3 G#3 F#3 -
1.1.11     0.10     D          C2 E2        D3 C#3 E3 F#3 A3 B3      -
1.1.22     0.20     Bm         C2           B3 E3 C#3 D3 F#3         -
1.1.33     0.30     D          -            B3 D3 F#4 E3 A3 C#3      -
1.1.44     0.40     Faug       D3 F2        C#3 B3 E3 A3             F#4
1.1.55     0.50     D5         D3           C#4 A3                   B4 F#4
1.1.67     0.60     D5         D3           C#4 A3                   B4 F#4
1.1.78     0.70     A          A1           C#4 A3                   F#4 B4
1.1.89     0.80     F#m        A1           C#4 A3 F#4               -
1.2        0.90     F#m        A1           C#4 A3 F#4               -
1.2.11     1.00     D5         D3 A1        C#4 A3                   -
1.2.22     1.10     D5         D3           C#4 A3                   -
1.2.34     1.20     D5         C2 D3        C#4 A3                   -
1.2.45     1.30     D5         C2 D3        C#4 A3                   -
1.2.56     1.40     D5         D3           C#4 A3                   -
1.2.67     1.50     D5         D3           C#4 A3                   -
1.2.78     1.60     D5         D3           C#4 A3                   -
1.2.89     1.70     Fdim       F2 G#2       B3 C#4 A3 D3             F#4
1.3        1.80     Fdim       F2 G#2       C#4 B3 A3                F#4
1.3.12     1.90     Aaug       F2 A1        C#4                      F#4
1.3.23     2.00     F#m        A1           C#4 F#4                  -
1.3.34     2.10     F#5        E2           C#4 F#4                  -
1.3.45     2.20     C#m        E2           C#4                      -
1.3.56     2.30     A          E2           C#4 A3                   -
1.3.68     2.40     A          E2 D3        C#4 A3                   -
1.3.79     2.50     D          E2 D3        C#4 A3 F#4               -
1.3.90     2.60     D          E2 D3        C#4 A3 A4 F#4            -
1.4.01     2.70     D#dim      D#2 D3       C#4 A3 A4 F#4            -
1.4.12     2.80     D          E2 D3        C#4 A3 F#4               -
1.4.23     2.90     D          E2 D3        C#4 A3 F#4               -
1.4.35     3.00     D          E2 D3        C#4 F#4 A3               -
1.4.46     3.10     D          E2 D3        C#4 F#4 A3               -
1.4.57     3.20     D          D3           C#4 F#4 A3               -
