# Fused Transcription: best_part.mp3
# Duration: 271.44s
# BPM: 67
# Time Signature: 4/4
# Total Bars: 72
# Total Notes: 1835

Bar    Beat     Dur    Note     Role     Vel
--------------------------------------------------
1      1.00     0.50   B3       chord    0.68
1      1.00     0.50   E3       chord    0.52
1      1.00     0.50   C#3      chord    0.72
1      1.25     0.25   F2       bass     1.00
1      1.50     1.50   B4       melody   0.82
1      1.50     4.00   F#4      melody   0.94
1      1.50     4.00   C#4      chord    1.00
1      1.50     4.00   A3       chord    0.30
1      2.75     3.00   F#4      melody   1.00
1      2.75     3.00   C#4      chord    0.99
1      2.75     2.00   A3       chord    0.34

2      1.00     2.00   A2       bass     1.00
2      1.50     4.00   D5       melody   0.70
2      1.50     1.50   G4       chord    0.57
2      1.50     4.00   D3       chord    0.58
2      1.50     1.50   A2       bass     1.00
2      2.75     3.00   E4       chord    0.91
2      2.75     3.00   C4       chord    0.57

3      1.25     3.00   D5       melody   0.55
3      1.25     1.50   G4       melody   0.80
3      1.25     4.00   D4       chord    0.87
3      1.25     4.00   A3       chord    0.35
3      2.75     1.50   D5       melody   0.46
3      2.75     1.50   D3       chord    0.77
3      2.75     1.50   G2       bass     0.91
3      4.25     1.00   D5       melody   1.00
3      4.25     3.00   A4       melody   0.70
3      4.25     3.00   F4       chord    1.00
3      4.25     4.00   D3       chord    0.89
3      4.25     3.00   E2       bass     0.63

4      1.25     4.00   A#3      chord    0.41
4      1.25     4.00   D3       chord    0.62
4      3.25     1.00   D5       melody   0.32
4      4.00     4.00   D3       chord    0.62
4      4.00     1.00   F#2      bass     0.70

5      1.25     3.00   A3       chord    0.74
5      1.25     4.00   D3       chord    1.00
5      2.50     1.50   F#4      melody   1.00
5      2.50     1.50   E4       chord    0.88
5      2.50     2.00   C#4      chord    0.77
5      2.50     1.50   A3       chord    0.72
5      4.00     1.00   C#5      melody   1.00
5      4.00     0.50   F2       bass     1.00
5      4.25     0.25   G#5      melody   0.71
