# Fused Transcription: best_part.mp3
# Duration: 271.44s
# BPM: 67
# Time Signature: 4/4
# Total Bars: 72
# Total Notes: 1835

Bar    Beat     Dur    Note     Role     Vel
--------------------------------------------------
0      1.00     0.50   B3       chord    0.68
0      1.00     0.50   E3       chord    0.52
0      1.00     0.50   C#3      chord    0.72
0      1.00     0.25   F2       bass     1.00
0      1.00     1.50   B4       melody   0.82
0      1.00     4.00   F#4      melody   0.94
0      1.00     4.00   C#4      chord    1.00
0      1.00     4.00   A3       chord    0.30
1      1.00     3.00   F#4      melody   1.00
1      1.00     3.00   C#4      chord    0.99
1      1.00     2.00   A3       chord    0.34
1      3.50     2.00   A2       bass     1.00
1      4.00     4.00   D5       melody   0.70
1      4.00     1.50   G4       chord    0.57
1      4.00     4.00   D3       chord    0.58
1      4.00     1.50   A2       bass     1.00

2      1.00     3.00   E4       chord    0.91
2      1.00     3.00   C4       chord    0.57
2      3.50     3.00   D5       melody   0.55
2      3.50     1.50   G4       melody   0.80
2      3.50     4.00   D4       chord    0.87
2      3.50     4.00   A3       chord    0.35

3      1.00     1.50   D5       melody   0.46
3      1.00     1.50   D3       chord    0.77
3      1.00     1.50   G2       bass     0.91
3      2.50     1.00   D5       melody   1.00
3      2.50     3.00   A4       melody   0.70
3      2.50     3.00   F4       chord    1.00
3      2.50     4.00   D3       chord    0.89
3      2.50     3.00   E2       bass     0.63
3      3.50     4.00   A#3      chord    0.41
3      3.50     4.00   D3       chord    0.62

4      1.50     1.00   D5       melody   0.32
4      2.50     4.00   D3       chord    0.62
4      2.50     1.00   F#2      bass     0.70
4      3.50     3.00   A3       chord    0.74
4      3.50     4.00   D3       chord    1.00

5      1.00     1.50   F#4      melody   1.00
5      1.00     1.50   E4       chord    0.88
5      1.00     2.00   C#4      chord    0.77
5      1.00     1.50   A3       chord    0.72
5      2.50     0.25   G#5      melody   0.71
5      2.50     1.00   C#5      melody   1.00
5      2.50     0.75   C#5      melody   1.00
5      2.50     0.50   C#3      chord    0.35
5      2.50     0.50   F2       bass     1.00
5      2.50     0.25   E2       bass     1.00
5      3.00     0.50   D5       melody   0.82
5      3.00     2.00   A4       melody   0.49
5      3.00     2.00   F#4      melody   1.00
5      3.50     4.00   B3       chord    0.49
5      3.50     3.00   F#3      bass     1.00
5      3.50     1.50   E3       chord    0.58

6      1.00     2.00   G#4      melody   1.00
6      1.00     1.50   D#4      chord    0.97
6      1.00     2.00   C4       chord    0.48
6      1.00     1.50   F#3      bass     0.93
6      2.50     4.00   D5       melody   1.00
6      2.50     0.75   D#4      chord    1.00
6      2.50     0.75   C4       chord    0.42
6      2.50     2.00   A1       bass     1.00
6      3.50     4.00   D5       melody   1.00
6      3.50     4.00   A3       chord    0.51
6      3.50     1.00   E3       chord    0.51
6      3.50     4.00   D3       bass     1.00
6      4.50     3.00   D5       melody   0.55
6      4.50     2.00   E2       bass     0.58

7      1.00     3.00   D5       melody   0.34
7      1.00     4.00   A3       chord    0.61
7      1.00     2.00   E3       chord    0.33
7      2.50     3.00   C4       chord    0.41
7      2.50     0.50   D#3      chord    0.88
7      3.00     4.00   A#3      chord    0.74
7      4.00     3.00   A#3      chord    1.00
7      4.00     4.00   D3       chord    0.76
7      4.00     3.00   C3       bass     1.00
7      4.50     3.00   A#3      chord    0.50
7      4.50     4.00   D3       chord    0.68
7      4.50     2.00   C3       bass     0.84

8      2.00     1.00   A#3      chord    1.00
8      2.00     3.00   D3       chord    0.69
8      2.50     0.75   A#4      melody   1.00
8      2.50     2.00   D4       chord    1.00
8      2.50     0.25   F2       bass     0.88
8      3.00     1.50   B4       melody   0.74
8      3.00     1.50   A4       melody   0.58
8      3.00     1.50   D4       chord    1.00
8      3.00     0.50   A2       bass     1.00
8      4.50     0.25   D5       melody   1.00
