# Two-Pass Transcription: best_part.mp3
# Duration: 271.44s

Time     Chord        Bass         Chords                       Melody
------------------------------------------------------------------------------------------
0.00     Caug?        C2 E2        C#3 D3 E3 B3 A3 F3 G#3 F#3   -
0.10     D13          C2 E2        D3 C#3 E3 F#3 A3 B3          -
0.20     Bm           C2           B3 E3 C#3 D3 F#3             -
0.30     Dmaj7        -            B3 D3 F#4 E3 A3 C#3          -
0.40     Faug         D3 F2        C#3 B3 E3 A3                 F4 F#4 B4
0.50     D5           D3           C#4 A3                       F4 F#4 B4 F#4 A4 B4
0.60     D5           D3           C#4 A3                       F4 F#4 B4 F#4 A4 B4
0.70     A            A1           C#4 A3                       F#4 A4 B4
0.80     F#m          A1           C#4 A3 F#4                   -
0.90     F#m          A1           C#4 A3 F#4                   -
1.00     D5           D3 A1        C#4 A3                       -
1.10     D5           D3           C#4 A3                       -
1.20     D5           C2 D3        C#4 A3                       -
1.30     D5           C2 D3        C#4 A3                       -
1.40     D5           D3           C#4 A3                       -
1.50     D5           D3           C#4 A3                       -
1.60     D5           D3           C#4 A3                       -
1.70     Fdim         F2 G#2       B3 C#4 A3 D3                 F#4 B4
1.80     Fdim         F2 G#2       C#4 B3 A3                    F#4 B4
1.90     Aaug         F2 A1        C#4                          F#4 B4
2.00     F#m          A1           C#4 F#4                      -
2.10     F#5          E2           C#4 F#4                      -
2.20     C#m?         E2           C#4                          -
2.30     A            E2           C#4 A3                       -
2.40     A            E2 D3        C#4 A3                       -
2.50     Dmaj7        E2 D3        C#4 A3 F#4                   -
2.60     Dmaj7        E2 D3        C#4 A3 A4 F#4                -
2.70     D#min7b5     D#2 D3       C#4 A3 A4 F#4                -
2.80     Dmaj7        E2 D3        C#4 A3 F#4                   -
2.90     Dmaj7        E2 D3        C#4 A3 F#4                   -
3.00     Dmaj7        E2 D3        C#4 F#4 A3                   -
3.10     Dmaj7        E2 D3        C#4 F#4 A3                   -
3.20     Dmaj7        D3           C#4 F#4 A3                   -
3.30     Dmaj7        -            C#4 F#4 A3 D3                -
3.40     Faug         F2           C#3 C#4 F#4 A3 D3            -
3.50     C#?          F2           C#4                          -
3.60     C#?          F2           C#3 C#4                      -
3.70     -            D3           C#4                          F#4
3.80     -            D3           C#4                          F#4
3.90     -            A2           -                            F#4
4.00     D5           A2           D3 D4 C4                     E4 G4 G4 E4 F#4 A4
4.10     D5           A2           D3 D4 C3 C4                  E4 G4 G4 E4 F#4 A4 E4 F#4 A4 E4 F#4 D5 E4 F#4 D5
4.20     D5           A2 A1        D3 D4 C3 C4 B4               E4 G4 G4 E4 F#4 A4 E4 F#4 A4 E4 F#4 D5 E4 F#4 D5
4.30     D5           A1 A2        D3 D4 C4 B3 B4               E4 F#4 A4 E4 F#4 D5 E4 F#4 D5
4.40     Am           A2           D3 D4 C4 E4 B3 B4            -
4.50     Amin7        A2           D3 D4 C4 E4 G3 B4            -
4.60     Amin7        A2           D3 D4 G3 E4 C4               -
4.70     Amin7        A2           D3 D4 G3 G4 E4 C4            -
4.80     Amin7        A2           D3 D4 G3 G4 C4 E4            -
4.90     Amin7        A2 G3        D3 D4 G4 C4 E4               -
5.00     Amin7        A2 G3        D3 D4 G4 C4 E4               -
5.10     Amin7        A2 G3        D3 D4 G4 C4 E4               -
5.20     Amin7        A2           D3 G3 C4 D4 G4 E4            -
5.30     C            D3           C4 G3 E4                     G4 A4 D5
5.40     C            D3           C3 C4 G3 E4                  G4 A4 D5
5.50     C            E2           D3 C3 C4 E4 G3               G4 A4 D5
5.60     C            -            C3 C4 D3 E4 E3 G3 A4         -
5.70     C            G3           C3 C4 E4 E3 D3 A4            -
5.80     F#min7b5     G3 F#2       C3 E4 C4 A4                  -
5.90     D11          G3 F#2       E4 D3 C4 A4                  -
6.00     D11          G3 F#2       E4 D3 C4 A4                  -
6.10     C            G3 E2        E4 D3 C4                     -
6.20     C            G3 E2        E4 D3 C4                     -
6.30     C            G3           D3 E4 E3 C4                  -
6.40     C            G3 D3        E3 E4 C4                     -
6.50     Fsus2        F2 G3        D3 E3 E4 C4                  -
6.60     -            F#3          -                            -
6.70     -            F#3          -                            -
6.80     -            F#3          -                            -
6.90     -            F#3          -                            -
7.00     -            F#3 F#2      -                            -
7.10     D            F#3          D3                           -
7.20     D7           F#3          D3 C4                        -
7.30     D9?          F#3 E2       D3 C4                        -
7.40     D7           F#3          D3 C4                        -
7.50     G5           G2 E3        G3 F#3 D4                    F#4 G4 D5
7.60     Gsus2        G2 E3        G3 D4 A3                     F#4 G4 D5
7.70     Gsus2        G2 E3        G3 D3 D4 A3                  F#4 G4 D5
7.80     Gsus2        G2 E3        G3 D3 D4 F#4 G4 A3           -
7.90     Gsus2        G2 E3        D3 D4 G4 A3 F#4              -
8.00     Gsus2        G2 E3        D3 D4 A3 G4 F#4              -
8.10     Gsus2        G2 E3        D3 D4 A3 G4                  -
8.20     Gsus2        G2 E3        D3 D4 A3                     -
8.30     G5           G2 E3        D3 D4                        -
8.40     G5           G2           E3 D3 D4                     -
8.50     G5           G2           E3 D3 D4                     -
8.60     G5           G2 E3        D3 D4                        -
8.70     G5           G2 E3        D3 D4                        -
8.80     Gsus2        G2           D3 A3 F#3 E3                 -
8.90     Gsus2        G2           D3 A3 F#3 E3                 F#4 A4 D5
9.00     Gsus2        F#3 G2       D3 A3 D4                     F#4 A4 D5
9.10     Gsus2        F#3 G2       D3 D4 A3                     F#4 A4 D5
9.20     Gsus2        F#3 G2       D3 D4 A3                     -
9.30     Gsus2        F#3 G2       D3 D4 A3                     -
9.40     Gsus2        F#3 G2       D3 D4 A3                     -
9.50     Gsus2        F#3 G2       D3 D4 A3                     -
9.60     Gsus2        F#3 G2       D3 D4 A3                     -
9.70     Gsus2        F#3 G2       D3 D4 A3                     -
9.80     Gsus2        F#3 G2       D3 D4 A3                     -
9.90     Gsus2        F#3 G2       A3 A4 D4                     -
10.00    Gsus2        F#3 G2       D4 A3 A4                     -
10.10    D            F#3          A3 D4                        F#4 A4
10.20    D            F#3          A3 D4                        F#4 A4 A4 D5
10.30    D            F#3          A3 D4                        F#4 A4 A4 D5
10.40    Gsus2        F#3 G2       A3 D4                        A4 D5
10.50    Gsus2        F#3 G2       A3 A4 D4                     -
10.60    Gsus2        F#3 G2       D3 A4 D4                     -
10.70    D            F#3 E2       D3 A4 D4                     -
10.80    D            F#3 E2       D3 A4 D4                     -
10.90    D?           F2 F#3       F4 D4                        -
11.00    Dm?          F2           D3 D4                        F4 A4 C5
11.10    A#maj7       F2 A1        D3 A3 D4 A#3                 F4 A4 C5
11.20    Dsus2        E2           D3 A3 D4 A#3                 F4 A4 C5
11.30    A#maj7       E2 G#1       D3 D4 A#3 F4 A3              -
11.40    A#maj7       G#1 E2       D3 D4 A#3 F4 A3              -
11.50    A#maj7       E2           D3 D4 A#3 F4 A3              -
11.60    A#maj7       E2           D3 D4 A#3 F4 A3              -
11.70    A#maj7       E2           D3 D4 A#3 A3 F4              -
11.80    A#maj7       E2           D3 D4 F4 A#3 A3              -
11.90    A#maj7       E2           D3 D4 F4 A#3 A3 A#4          -
12.00    A#maj7       E2 D3        D4 F4 A#3 A3 A#4             -
12.10    A#maj7       E2 D3        D4 F4 A3 A#3 A#4             -
12.20    A#maj7       E2           D3 D4 F4 A3 A#3              -
12.30    A#maj7       E2           D3 D4 F4 A3 A#3              -
12.40    A#maj7       E2           D3 D4 A3 F4 A#3 A#4          -
12.50    A#maj7       E2           D3 D4 A3 F4 A#3 A#4          -
12.60    Gmin7        G3           D4 F4 A#4                    -
12.70    G5           G3           G4 D4 F4                     -
12.80    Gm           G3           D3 A#3 D4                    F4 G4 D5
12.90    Dsus4        G3           D3 A#3 A3 D4                 F4 G4 D5
13.00    Dsus4        G3           D3 A#3 D4 A3                 F4 G4 D5
13.10    Gm           A1           D3 A#3 D4 A3 G3              -
13.20    D5           A1           D3 A#3 D4 A3                 -
13.30    D5           -            D3 D4 A#3 A3                 -
13.40    D5           -            D3 D4 A#3 A3                 -
13.50    A#           F2           G4 D3 D4 A#3                 -
13.60    Gm           G2           G3 D3 D4 A#3                 G4 A4
13.70    Gm           -            G3 D3 D4 A#3                 G4 A4
13.80    Emin7b5      E2           G3 D3 D4 A#3                 G4 A4
13.90    Emin7b5      E2 G3 F#2    D3 D4 A#3                    -
14.00    F#aug        F#2          G3 D3 D4 A#3                 -
14.10    F#aug        F#2          G3 G4 D3 D4 A#3              -
14.20    F#aug        F#2          G3 D3 G4 D4 A#3              -
14.30    Asus4        A2           E4 D3 G3 A3                  -
14.40    Dm           F2 A2        D3 E4 G3 A3                  -
14.50    Dm           F2 A2        D3 B3 A3 G3                  E4 F#4 G4
14.60    D5           D2           D3 B3 B4 A3                  E4 F#4 G4
14.70    D5           D2           D3 B3 C#4 B4 A3              E4 F#4 G4
14.80    Dmaj7        D2           D3 C#4 F#4 A3                -
14.90    Dmaj7        D2           D3 C#4 F#4 A3                -
15.00    Dmaj7        D2           D3 C#4 A3 C#3 F#4            -
15.10    Dmaj7        D2           D3 A3 C#3 C#4 F#4            -
15.20    Dmaj7        D2           D3 A3 C#4 F#4                -
15.30    Dmaj7        D2           D3 A3 C#4 F#4                -
15.40    Dmaj7        D2           D3 A3 C#3 C#4 F#4            -
15.50    Dmaj7        D2           D3 A3 C#3 C#4 F#4            -
15.60    D5           D2           D3 A3 C#4                    -
15.70    D5           D2           D3 A3 C#4                    -
15.80    D5           -            D3 C#4 A3                    E4 F#4 A4
15.90    D5           D3 D#2       C#4 A3                       E4 F#4 A4
16.00    D5           D3 D#2       C#4 A3                       E4 F#4 A4
16.10    Dmaj7        D3 E2        C#4 E4 A3 F#4                -
16.20    Dmaj7        E2 D3        C#4 E4 A3 F#4                -
16.30    Dmaj7        E2           E4 C#4 D3 A3 F#4             -
16.40    A#dim        A#1          E4 D3 A3 C#4                 -
16.50    A#dim        D3 A#1       E4 A3 A4 C#4                 -
16.60    Dsus2        D3           E4 A3 A4 C#4                 -
16.70    Dmaj7        D3 E2        E4 A3 A4 C#4 F#4             -
16.80    Dmaj7        E2 D3        E4 E3 A3 C#4 F#4             -
16.90    D            E2 D3        A3 E3 E4 F#4                 -
17.00    Dsus2        E2 D3        A3 E3 E4                     -
17.10    A            E2 D3        C#4 A3 E4                    -
17.20    Faug         F2 D3        C#4 A3                       E4 F#4 C#5
17.30    C#m?         E2 D3        C#3 C#4                      E4 F#4 C#5 E4 C#5 G#5
17.40    DminMaj7?    F2 D3        D4 C#4                       E4 F#4 C#5 E4 C#5 G#5
17.50    C#m?         E2 D3        D4 C#3 C#4                   E4 C#5 G#5
17.60    -            D3           D4 C#4                       F#4 C#5 D5
17.70    -            D3           D4 C#3 C#4                   F#4 C#5 D5
17.80    A#?          D3 A#2       C#4                          F#4 C#5 D5 D4 F#4 A4
